年	編號	日期	時間	中心氣壓	緯度	經度	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2023	02	0529	2030	945	19.7	125.5	300	100	43	54	MAWAR	1
2023	02	0529	2330	945	19.9	125.4	300	100	43	53	MAWAR	2
2023	02	0530	0230	945	20.0	125.4	300	100	43	53	MAWAR	3
2023	02	0530	0530	945	20.2	125.3	300	100	43	53	MAWAR	4
2023	02	0530	0830	945	20.4	125.0	300	100	43	53	MAWAR	5
2023	02	0530	1130	950	20.5	125.0	300	100	40	50	MAWAR	6
2023	02	0530	1430	950	20.6	125.0	300	100	40	50	MAWAR	7
2023	02	0530	1730	950	20.7	125.0	300	100	40	50	MAWAR	8
2023	02	0530	2030	950	20.8	125.0	300	100	40	50	MAWAR	9
2023	02	0530	2330	960	21.0	125.0	300	100	38	48	MAWAR	10
2023	02	0531	0230	960	21.1	125.0	300	100	38	48	MAWAR	11
2023	02	0531	0530	960	21.2	124.9	300	100	38	48	MAWAR	12
2023	02	0531	0830	965	21.5	125.0	300	100	35	45	MAWAR	13
2023	02	0531	1130	970	21.8	125.0	300	100	33	43	MAWAR	14
2023	02	0531	1430	970	22.2	125.2	300	100	33	43	MAWAR	15
2023	02	0531	1730	970	22.6	125.4	280	90	33	43	MAWAR	16
