年	編號	日期	時間	中心氣壓	緯度	經度	 7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2023	05	0724	2030	945	16.5	125.8	280	90	43	53	DOKSURI	1
2023	05	0724	2330	940	16.7	125.4	280	90	45	55	DOKSURI	2
2023	05	0725	0230	940	16.9	125.1	280	90	45	55	DOKSURI	3
2023	05	0725	0530	935	17.2	124.9	280	90	48	58	DOKSURI	4
2023	05	0725	0830	935	17.7	124.6	280	90	48	58	DOKSURI	5
2023	05	0725	1130	935	18.0	124.1	280	90	48	58	DOKSURI	6
2023	05	0725	1430	935	18.2	123.8	300	100	48	58	DOKSURI	7
2023	05	0725	1515	935	18.4	123.6	300	100	48	58	DOKSURI	7-1	
2023	05	0725	1615	935	18.5	123.5	300	100	48	58	DOKSURI	7-1
2023	05	0725	1730	935	18.6	123.4	300	100	48	58	DOKSURI	8
2023	05	0725	1815	935	18.7	123.1	300	100	48	58	DOKSURI	8-1
2023	05	0725	1915	935	18.8	122.9	300	100	48	58	DOKSURI	8-2
2023	05	0725	2030	935	18.9	122.7	300	100	48	58	DOKSURI	9
2023	05	0725	2115	935	18.9	122.5	300	100	48	58	DOKSURI	9-1
2023	05	0725	2215	935	18.9	123.3	300	100	48	58	DOKSURI	9-2
2023	05	0725	2330	935	18.9	122.1	300	100	48	58	DOKSURI	10
2023	05	0726	0015	935	19.0	122.0	300	100	48	58	DOKSURI	10-1	
2023	05	0726	0115	935	19.0	121.8	300	100	48	58	DOKSURI	10-2
2023	05	0726	0230	935	19.0	121.6	300	100	48	58	DOKSURI	11
2023	05	0726	0315	935	18.9	121.4	300	100	48	58	DOKSURI	11-1
2023	5	0726	0415	935	18.8	121.3	300	100	48	58	DOKSURI	11-2
2023	5	0726	0530	935	18.8	121.4	300	100	48	58	DOKSURI	12
2023	5	0726	0615	935	18.8	121.4	300	100	48	58	DOKSURI	12-1
2023	5	0726	0715	935	18.8	121.5	300	100	48	58	DOKSURI	12-2
2023	5	0726	0830	935	18.9	121.4	300	100	48	58	DOKSURI	13
2023	5	0726	0915	935	19.0	121.3	300	100	48	58	DOKSURI	13-1
2023	5	0726	1015	935	19.0	121.2	300	100	48	58	DOKSURI	13-2
2023	5	0726	1130	940	19.1	121.1	280	90	45	55	DOKSURI	14
2023	5	0726	1215	940	19.1	121.1	280	90	45	55	DOKSURI	14-1
2023	5	0726	1315	940	19.2	121.1	280	90	45	55	DOKSURI	14-2
2023	5	0726	1430	940	19.3	121.0	280	90	45	55	DOKSURI	15
2023	5	0726	1515	940	19.4	120.9	280	90	45	55	DOKSURI	15-1
2023	5	0726	1615	940	19.4	120.8	280	90	45	55	DOKSURI	15-2
2023	5	0726	1730	940	19.4	120.7	280	90	45	55	DOKSURI	16
2023	5	0726	1815	940	19.4	120.6	280	90	45	55	DOKSURI	16-1
2023	5	0726	1915	940	19.5	120.6	280	90	45	55	DOKSURI	16-2
2023	05	0726	2030	940	19.6	120.6	280	90	45	55	DOKSURI	17	
2023	05	0726	2115	940	19.7	120.6	280	90	45	55	DOKSURI	17-1	
2023	05	0726	2215	940	19.8	120.5	280	90	45	55	DOKSURI	17-2
2023	05	0726	2330	940	19.9	120.4	280	90	45	55	DOKSURI	18
2023	05	0727	0015	940	20.0	120.3	280	90	45	55	DOKSURI	18-1
2023	05	0727	0115	940	20.0	120.1	280	90	45	55	DOKSURI	18-2	
2023	05	0727	0230	940	20.0	120.1	280	90	45	55	DOKSURI	19
2023	05	0727	0315	940	20.1	120.1	280	90	45	55	DOKSURI	19-1
2023	05	0727	0415	940	20.2	120.1	280	90	45	55	DOKSURI	19-2
2023	05	0727	0530	945	20.3	120.1	280	90	43	53	DOKSURI	20
2023	05	0727	0615	945	20.4	120.1	280	90	43	53	DOKSURI	20-1
2023	05	0727	0715	945	20.6	120.0	280	90	43	53	DOKSURI	20-2
2023	05	0727	0830	945	20.8	119.8	280	90	43	53	DOKSURI	21
2023	05	0727	0915	945	20.9	119.6	280	90	43	53	DOKSURI	21-1
2023	05	0727	1015	945	21.0	119.4	280	90	43	53	DOKSURI	21-2
2023	05	0727	1130	945	20.9	119.3	280	90	43	53	DOKSURI	22
2023	05	0727	1215	945	20.9	119.3	280	90	43	53	DOKSURI	22-1
2023	05	0727	1315	945	21.0	119.3	280	90	43	53	DOKSURI	22-2
2023	05	0727	1430	945	21.1	119.3	280	90	43	53	DOKSURI	23
2023	05	0727	1515	945	21.2	119.3	280	90	43	53	DOKSURI	23-1
2023	05	0727	1615	945	21.3	119.3	280	90	43	53	DOKSURI	23-2
2023	05	0727	1730	945	21.4	119.2	280	90	43	53	DOKSURI	24
2023	05	0727	1815	945	21.4	119.2	280	90	43	53	DOKSURI	24-1
2023	05	0727	1915	945	21.6	119.2	280	90	43	53	DOKSURI	24-2
2023	5	0727	2030	945	21.8	119.2	280	90	43	53	DOKSURI	25
2023	5	0727	2115	945	21.9	119.1	280	90	43	53	DOKSURI	25-1
2023	5	0727	2215	945	22.0	119.1	280	90	43	53	DOKSURI	25-2
2023	5	0727	2330	945	22.2	119.1	250	80	43	53	DOKSURI	26
2023	5	0728	0015	945	22.4	119.1	250	80	43	53	DOKSURI	26-1
2023	5	0728	0115	945	22.6	119.0	250	80	43	53	DOKSURI	26-2
2023	5	0728	0230	945	22.8	119.0	250	80	43	53	DOKSURI	27
2023	5	0728	0315	945	23.0	119.0	250	80	43	53	DOKSURI	27-1
2023	5	0728	0415	945	23.2	119.0	250	80	43	53	DOKSURI	27-2
2023	5	0728	0530	945	23.4	118.8	250	80	43	53	DOKSURI	28
2023	5	0728	0615	945	23.6	118.9	250	80	433	53	DOKSURI	28-1
2023	5	0728	0715	945	23.8	118.6	250	80	43	53	DOKSURI	28-2
2023	5	0728	0830	945	24.0	118.5	250	80	43	53	DOKSURI	29
2023	5	0728	0915	945	24.4	118.5	220	70	43	53	DOKSURI	29-1
2023	5	0728	1015	945	24.6	118.5	220	70	43	53	DOKSURI	29-2
2023	5	0728	1130	950	24.8	118.4	200	70	40	50	DOKSURI	30
2023	5	0728	1215	950	25.2	118.2	200	70	40	50	DOKSURI	30-1
2023	5	0728	1315	950	25.3	118.2	200	70	40	50	DOKSURI	30-2
2023	5	0728	1430	970	25.5	118.1	180	60	33	43	DOKSURI	31
2023	5	0728	1515	970	25.9	118.1	180	60	33	43	DOKSURI	31-1
2023	5	0728	1615	970	26.1	117.8	180	60	33	43	DOKSURI	31-2
2023	5	0728	1730	982	26.5	117.7	150		28	35	DOKSURI	32

























