年	編號	日期	時間	中心氣壓	緯度	經度	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2023	6	0801	2030	940	25.2	128.0	280	100	45	55	KHANUN	1
2023	6	0801	2330	940	25.3	127.6	280	100	45	55	KHANUN	2
2023	6	0802	0230	940	25.5	127.4	280	100	45	55	KHANUN	3
2023	6	0802	0530	940	25.7	127.1	280	100	45	55	KHANUN	4
2023	6	0802	0830	930	25.7	126.9	280	100	48	58	KHANUN	5
2023	6	0802	1130	930	26.4	126.5	280	100	48	58	KHANUN	6
2023	6	0802	1430	930	26.1	126.1	280	100	48	58	KHANUN	7
2023	6	0802	1730	930	26.2	125.8	280	100	48	58	KHANUN	8
2023	6	0802	1815	930	26.2	125.7	280	100	48	58	KHANUN	8-1
2023	6	0802	1915	930	26.2	125.7	280	100	48	58	KHANUN	8-2
2023	6	0802	2030	930	26.2	125.6	280	100	48	58	KHANUN	9
2023	6	0802	2115	930	26.2	125.5	280	100	48	58	KHANUN	9-1
2023	6	0802	2215	930	26.2	125.4	280	100	48	58	KHANUN	9-2
2023	6	0802	2330	930	26.2	125.3	280	100	48	58	KHANUN	10
2023	6	0803	0015	930	26.3	125.2	280	100	48	58	KHANUN	10-1
2023	6	0803	0115	930	26.3	125.2	280	100	48	58	KHANUN	10-2
2023	6	0803	0230	940	26.4	125.1	280	100	45	55	KHANUN	11
2023	6	0803	0315	940	26.4	125.0	280	100	45	55	KHANUN	11-1
2023	6	0803	0415	940	26.5	124.9	280	100	45	55	KHANUN	11-2
2023	6	0803	0530	940	26.5	124.8	280	100	45	55	KHANUN	12
2023	6	0803	0615	940	26.5	124.8	280	100	45	55	KHANUN	12-1
2023	6	0803	0715	940	26.5	124.7	280	100	45	55	KHANUN	12-2
2023	6	0803	0830	940	26.5	124.7	280	100	45	55	KHANUN	13
2023	6	0803	0915	940	26.5	124.7	280	100	45	55	KHANUN	13-1
2023	6	0803	1015	940	26.6	124.6	280	100	45	55	KHANUN	13-2
2023	6	0803	1130	940	26.6	124.6	280	100	45	55	KHANUN	14
2023	6	0803	1215	940	26.7	124.5	280	100	45	55	KHANUN	14-1
2023	6	0803	1315	940	26.7	124.4	280	100	45	55	KHANUN	14-2
2023	6	0803	1430	940	26.7	124.3	280	100	45	55	KHANUN	15
2023	6	0803	1515	940	26.7	124.3	280	100	45	55	KHANUN	15-1
2023	6	0803	1615	940	26.6	124.2	280	100	45	55	KHANUN	15-2
2023	6	0803	1730	945	26.5	124.3	280	90	43	53	KHANUN	16
2023	6	0803	1815	945	26.6	124.3	280	90	43	53	KHANUN	16-1
2023	6	0803	1915	945	26.6	124.3	280	90	43	53	KHANUN	16-2
2023	6	0803	2030	945	26.6	124.3	280	90	43	53	KHANUN	17
2023	6	0803	2115	945	26.5	124.3	280	90	43	53	KHANUN	17-1
2023	6	0803	2215	945	26.6	124.2	280	90	43	53	KHANUN	17-2
2023	6	0803	2330	950	26.6	124.3	280	90	40	50	KHANUN	18
2023	6	0804	0015	950	26.7	124.2	280	90	40	50	KHANUN	18-1
2023	6	0804	0115	950	26.7	124.3	280	90	40	50	KHANUN	18-2
2023	6	0804	0230	960	26.7	124.3	280	90	38	48	KHANUN	19
2023	6	0804	0315	960	26.7	124.3	280	90	38	48	KHANUN	19-1	
2023	6	0804	0415	960	26.8	124.2	280	90	38	48	KHANUN	19-2
2023	6	0804	0530	960	26.9	124.3	280	90	38	48	KHANUN	20
2023	6	0804	0830	965	27.0	124.5	250	80	35	45	KHANUN	21
2023	6	0804	1130	970	27.1	124.9	220	70	33	43	KHANUN	22
