年	編號	日期	時間	中心氣壓	緯度	經度	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2023	9	0828	2330	930	18.0	124.0	150	80	48	58	SAOLA	1
2023	9	0829	0230	930	18.3	123.8	150	80	48	58	SAOLA	2
2023	9	0829	0530	940	18.6	123.6	150	80	45	55	SAOLA	3
2023	9	0829	0830	940	18.6	123.5	150	80	45	55	SAOLA	4
2023	9	0829	1130	940	18.6	123.3	150	80	45	55	SAOLA	5
2023	9	0829	1430	930	18.9	123.1	180	80	48	58	SAOLA	6
2023	9	0829	1730	930	19.0	123.0	180	80	48	58	SAOLA	7
2023	9	0829	1815	930	19.1	122.9	180	80	48	58	SAOLA	7-1
2023	9	0829	1915	930	19.2	122.8	180	80	48	58	SAOLA	7-2
2023	9	0829	2030	930	19.3	122.7	180	80	48	58	SAOLA	8
2023	9	0829	2115	930	19.4	122.6	180	80	48	58	SAOLA	8-1
2023	9	0829	2215	930	19.5	122.5	180	80	48	58	SAOLA	8-2
2023	9	0829	2330	925	19.6	122.4	180	80	51	63	SAOLA	9
2023	9	0830	0015	914	19.7	122.3	180	80	55	68	SAOLA	9-1
2023	9	0830	0115	925	19.8	122.1	180	80	51	63	SAOLA	9-2
2023	9	0830	0230	925	19.9	121.9	180	80	51	63	SAOLA	10
2023	9	0830	0315	925	20.0	121.8	180	80	51	63	SAOLA	10-1
2023	9	0830	0415	925	20.0	121.6	180	80	51	63	SAOLA	10-2
2023	9	0830	0530	925	20.0	121.4	180	80	51	63	SAOLA	11
2023	9	0830	0615	925	20.1	121.3	180	80	51	63	SAOLA	11-1
2023	9	0830	0715	925	20.1	121.2	180	80	51	63	SAOLA	11-2
2023	9	0830	0830	925	20.1	121.1	180	80	51	63	SAOLA	12
2023	9	0830	0915	925	20.1	121.0	180	80	51	63	SAOLA	12-1
2023	9	0830	1015	925	20.2	120.8	180	80	51	63	SAOLA	12-2
2023	9	0830	1130	915	20.2	120.7	200	80	53	65	SAOLA	13
2023	9	0830	1215	915	20.3	120.6	200	80	53	65	SAOLA	13-1
2023	9	0830	1315	915	20.3	120.5	190	70	53	65	SAOLA	13-2
2023	9	0830	1430	915	20.4	120.4	200	80	53	65	SAOLA	14
2023	9	0830	1515	915	20.4	120.2	200	80	53	65	SAOLA	14-1
2023	9	0830	1615	915	20.4	120.1	200	80	53	65	SAOLA	14-2
2023	9	0830	1730	915	20.5	120.0	200	80	53	65	SAOLA	15
2023	9	0830	1815	915	20.5	119.9	200	80	53	65	SAOLA	15-1
2023	9	0830	1915	915	20.6	119.8	200	80	53	65	SAOLA	15-2
2023	9	0830	2030	915	20.3	119.7	200	80	53	65	SAOLA	16
2023	9	0830	2115	915	20.7	119.5	200	80	53	65	SAOLA	16-1
2023	9	0830	2215	915	20.8	119.3	200	80	53	65	SAOLA	16-2
2023	9	0830	2330	915	20.8	119.2	200	80	53	65	SAOLA	17
2023	9	0831	0230	915	20.8	118.7	200	80	53	65	SAOLA	18
2023	9	0831	0530	915	20.8	118.5	200	80	53	65	SAOLA	19
2023	9	0831	0830	915	21.0	118.2	200	80	53	65	SAOLA	20
2023	9	0831	1130	915	21.0	117.9	200	80	53	65	SAOLA	21
2023	9	0831	1430	925	21.1	117.7	180	70	51	63	SAOLA	22
