年	編號	日期	時間	中心氣壓	緯度	經度	 7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2023	11	0901	2030	970	21.8	128.0	150	50	33	43	HAIKUI	1
2023	11	0901	2330	970	21.9	127.5	150	50	33	43	HAIKUI	2
2023	11	0902	0230	970	21.9	127.1	150	50	33	43	HAIKUI	3
2023	11	0902	0530	970	21.9	126.7	150	50	33	43	HAIKUI	4
2023	11	0902	0830	965	22.1	126.4	150	50	35	45	HAIKUI	5
2023	11	0902	1130	960	22.3	125.9	150	50	38	48	HAIKUI	6
2023	11	0902	1215	960	22.3	125.8	150	50	38	48	HAIKUI	6-1
2023	11	0902	1315	960	22.4	125.6	150	50	38	48	HAIKUI	6-2
2023	11	0902	1430	960	22.4	125.4	150	50	38	48	HAIKUI	7
2023	11	0902	1515	960	22.4	125.3	150	50	38	48	HAIKUI	7-1
2023	11	0902	1615	960	22.4	125.2	150	50	38	48	HAIKUI	7-2
2023	11	0902	1730	960	22.5	125.0	150	50	38	48	HAIKUI	8
2023	11	0902	1815	960	22.5	124.9	150	50	38	48	HAIKUI	8-1
2023	11	0902	1915	960	22.6	124.6	150	50	38	48	HAIKUI	8-2
2023	11	0902	2030	950	22.6	124.4	180	60	40	50	HAIKUI	9
2023	11	0902	2115	950	22.6	124.2	180	60	40	50	HAIKUI	9-1
2023	11	0902	2215	950	22.7	123.9	180	60	40	50	HAIKUI	9-2
2023	11	0902	2330	950	22.6	123.7	180	60	40	50	HAIKUI	10
2023	11	0903	0015	950	22.6	123.5	180	60	40	50	HAIKUI	10-1
2023	11	0903	0115	950	22.6	123.4	180	60	40	50	HAIKUI	10-2
2023	11	0903	0230	950	22.6	123.3	180	60	40	50	HAIKUI	11
2023	11	0903	0315	950	22.5	123.1	180	60	40	50	HAIKUI	11-1
2023	11	0903	0415	950	22.4	123.0	180	60	40	50	HAIKUI	11-2
2023	11	0903	0530	950	22.4	122.9	180	60	40	50	HAIKUI	12
2023	11	0903	0615	950	22.5	122.8	180	60	40	50	HAIKUI	12-1
2023	11	0903	0715	950	22.5	122.8	180	60	40	50	HAIKUI	12-2
2023	11	0903	0830	950	22.6	122.7	180	60	40	50	HAIKUI	13
2023	11	0903	0915	950	22.6	122.5	180	60	40	50	HAIKUI	13-1
2023	11	0903	1015	950	22.7	122.3	180	60	40	50	HAIKUI	13-2
2023	11	0903	1130	945	22.7	122.1	180	60	43	53	HAIKUI	14
2023	11	0903	1215	945	22.8	121.9	180	60	43	53	HAIKUI	14-1
2023	11	0903	1315	945	22.8	121.7	180	60	43	53	HAIKUI	14-2
2023	11	0903	1430	945	22.8	121.6	180	60	43	53	HAIKUI	15
2023	11	0903	1515	945	22.9	121.4	180	60	43	53	HAIKUI	15-1
2023	11	0903	1615	945	22.9	121.2	180	60	43	53	HAIKUI	15-2
2023	11	0903	1730	950	23.0	121.0	180	60	40	50	HAIKUI	16
2023	11	0903	1815	950	23.0	120.7	180	60	40	50	HAIKUI	16-1
2023	11	0903	1915	950	23.0	120.4	180	60	40	50	HAIKUI	16-2
2023	11	0903	2030	965	22.7	120.2	180	60	35	45	HAIKUI	17
2023	11	0903	2115	965	22.7	120.2	180	60	35	45	HAIKUI	17-1
2023	11	0903	2215	965	22.6	120.1	180	60	35	45	HAIKUI	17-2
2023	11	0903	2330	965	22.6	120.0	180	60	35	45	HAIKUI	18
2023	11	0904	0015	965	22.6	120.0	180	60	35	45	HAIKUI	18-1
2023	11	0904	0115	965	22.6	120.0	180	60	35	45	HAIKUI	18-2
2023	11	0904	0230	965	22.6	120.0	180	60	35	45	HAIKUI	19
2023	11	0904	0315	965	22.6	120.6	180	60	35	45	HAIKUI	19-1
2023	11	0904	0415	965	22.7	120.2	180	60	35	45	HAIKUI	19-2
2023	11	0904	0530	975	22.9	120.1	150	50	30	38	HAIKUI	20
2023	11	0904	0615	975	23.0	120.1	150	50	30	38	HAIKUI	20-1
2023	11	0904	0715	975	23.1	120.1	150	50	30	38	HAIKUI	20-2
2023	11	0904	0830	975	23.2	119.8	150	50	30	38	HAIKUI	21
