年	編號	日期	時間	中心氣壓	緯度	經度	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2023	14	1002	2330	945	20.1	125.6	220	70	43	53	KOUIN	1
2023	14	1003	0230	945	20.1	125.3	220	70	43	53	KOUIN	2	
2023	14	1003	0530	940	20.4	125.1	250	80	45	55	KOUIN	3
2023	14	1003	0830	940	20.5	125.1	250	80	45	55	KOUIN	4
2023	14	1003	1130	940	20.8	125.0	250	90	45	55	KOUIN	5
2023	14	1003	1215	940	20.9	124.9	250	90	45	55	KOUIN	5-1
2023	14	1003	1315	940	21.0	124.8	250	90	45	55	KOUIN	5-2
2023	14	1003	1430	945	21.1	124.8	250	90	43	53	KOUIN	6
2023	14	1003	1515	945	21.3	124.8	250	90	43	53	KOUIN	6-1
2023	14	1003	1615	945	21.4	124.8	250	90	43	53	KOUIN	6-2
2023	14	1003	1730	945	21.5	124.8	250	90	43	53	KOUIN	7
2023	14	1003	1815	945	21.6	124.8	250	90	43	53	KOUIN	7-1
2023	14	1003	1915	945	21.6	124.8	250	90	43	53	KOUIN	7-2
2023	14	1003	2030	945	21.6	124.7	250	90	43	53	KOUIN	8
2023	14	1003	2115	945	21.7	124.7	250	90	43	53	KOUIN	8-1
2023	14	1003	2215	945	21.7	124.6	250	90	43	53	KOUIN	8-2
2023	14	1003	2330	945	21.7	124.4	250	90	43	53	KOUIN	9
2023	14	1004	0015	945	21.7	124.4	250	90	43	53	KOUIN	9-1
2023	14	1004	0115	945	21.8	124.3	250	90	43	53	KOUIN	9-2
2023	14	1004	0230	945	21.8	124.8	250	80	43	53	KOUIN	10
2023	14	1004	0315	945	21.9	124.2	250	80	43	53	KOUIN	10-1
2023	14	1004	0415	945	22.0	124.1	250	80	43	53	KOUIN	10-2
2023	14	1004	0530	945	22.0	124.0	250	90	43	53	KOUIN	11
2023	14	1004	0615	945	22.0	123.9	250	90	43	53	KOUIN	11-1
2023	14	1004	0715	945	22.1	123.8	250	90	43	53	KOUIN	11-2
2023	14	1004	0830	945	22.1	123.6	250	90	43	53	KOUIN	12
2023	14	1004	0915	945	22.1	123.5	250	90	43	53	KOUIN	12-1
2023	14	1004	1015	945	22.1	123.4	250	90	43	53	KOUIN	12-2
2023	14	1004	1130	945	22.1	123.2	250	90	43	53	KOUIN	13
2023	14	1004	1215	945	22.1	123.1	250	90	43	53	KOUIN	13-1
2023	14	1004	1315	945	22.1	122.9	250	90	43	53	KOUIN	13-2
