年	編號	日期	時間	中心氣壓	緯度	經度	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2024	3	0722	2330	975	18.6	125.2	120	40	33	43	GAEMI	1
2024	3	0723	0230	975	18.8	125.2	120	40	33	43	GAEMI	2
2024	3	0723	0530	965	19.0	125.5	150	50	35	45	GAEMI	3
2024	3	0723	0830	960	19.6	124.9	180	60	38	48	GAEMI	4
2024	3	0723	1130	950	20.2	125.0	200	70	40	50	GAEMI	5
2024	3	0723	1215	950	20.3	125.0	200	70	40	50	GAEMI	5-1
2024	3	0723	1315	950	20.3	125.1	200	70	40	50	GAEMI	5-2
2024	3	0723	1430	950	20.6	125.1	200	70	40	50	GAEMI	6
2024	3	0723	1515	950	20.9	125.0	200	70	40	50	GAEMI	6-1
2024	3	0723	1615	950	21.1	124.9	200	70	40	50	GAEMI	6-2
2024	3	0723	1730	945	21.3	124.9	220	70	43	53	GAEMI	7
2024	3	0723	1815	945	21.5	124.9	220	70	43	53	GAEMI	7-1
2024	3	0723	1915	945	21.7	124.8	220	70	43	53	GAEMI	7-2
2024	3	0723	2030	945	21.9	124.7	220	70	43	53	GAEMI	8
2024	3	0723	2115	945	22.1	124.5	220	70	43	53	GAEMI	8-1
2024	3	0723	2215	945	22.3	124.4	220	70	43	53	GAEMI	8-2
2024	3	0723	2330	945	22.5	124.2	220	70	43	53	GAEMI	9
2024	3	0724	0015	947	22.6	124.0	220	70	43	53	GAEMI	9-1
2024	3	0724	0115	945	22.7	123.8	220	70	43	53	GAEMI	9-2
2024	3	0724	0230	940	22.8	123.6	250	90	45	55	GAEMI	10
2024	3	0724	0315	940	22.9	123.4	250	90	45	55	GAEMI	10-1
2024	3	0724	0415	940	23.0	123.3	250	90	45	55	GAEMI	10-2
2024	3	0724	0530	940	23.1	123.4	250	90	45	55	GAEMI	11
2024	3	0724	0615	940	23.1	123.3	250	90	45	55	GAEMI	11-1
2024	3	0724	0715	940	23.3	123.3	250	90	45	55	GAEMI	11-2
2024	3	0724	0830	940	23.5	123.3	250	90	45	55	GAEMI	12
2024	3	0724	0915	940	23.6	123.1	250	90	45	55	GAEMI	12-1
2024	3	0724	1015	940	23.7	123.1	250	90	45	55	GAEMI	12-2
2024	3	0724	1130	925	23.9	123.0	250	90	51	63	GAEMI	13
2024	3	0724	1215	925	24.0	122.9	250	90	51	63	GAEMI	13-1
2024	3	0724	1315	925	24.1	122.7	250	90	51	63	GAEMI	13-2
2024	3	0724	1430	920	24.1	122.5	250	90	53	65	GAEMI	14
2024	3	0724	1515	920	24.3	122.3	250	90	53	65	GAEMI	14-1
2024	3	0724	1615	920	24.2	122.1	250	90	53	65	GAEMI	14-2
2024	3	0724	1730	920	24.0	121.9	250	90	53	65	GAEMI	15
2024	3	0724	1815	920	23.9	121.8	250	90	53	65	GAEMI	15-1
2024	3	0724	1915	920	23.7	121.7	250	90	53	65	GAEMI	15-2
2024	3	0724	2030	920	23.6	121.7	250	90	53	65	GAEMI	16
2024	3	0724	2115	920	23.7	121.9	250	80	53	65	GAEMI	16-1
2024	3	0724	2215	920	23.8	122.0	250	80	53	65	GAEMI	16-2
