年 	編號	日期	時間	中心氣壓	緯度	經度 	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp		lat	lon	size1		size2		vmax1		vmax2 		tyname 		report	
2024	18	0929	0830	978		18.6	124.3	120		50		30		38		KRATHON		1			
2024	18	0929	1103	970		19.0	124.1	150		50		33		43		KRATHON		2	
2024	18	0929	1430	970		19.2	123.9	180		60		33		43		KRATHON		3
2024	18	0929	1730	965		19.5	123.5	180		60		35		45		KRATHON		4
2024	18	0929	2030	960		19.6	123.0	200		70		38		48		KRATHON		5
2024	18	0929	2330	950		19.7	122.7	200		70		40		50		KRATHON		6
2024	18	0930	0230	945		19.8	122.5	200		70		43		53		KRATHON		7
2024	18	0930	0315	945		19.8	122.4	200		70		43		53		KRATHON		7-1
2024	18	0930	0415	945		19.9	122.4	200		70		43		53		KRATHON		7-2
2024	18	0930	0530	945		19.9	122.3	200		70		43		53		KRATHON		8
2024	18	0930	0615	945		19.9	122.2	200		70		43		53		KRATHON		8-1
2024	18	0930	0715	945		20.0	122.2	200		70		43		53		KRATHON  	8-2
2024	18	0930	0830	940		20.0	122.1	200		70		45		55		KRATHON		9
2024	18	0930	0915	940		20.2	122.0	200		70		45		55		KRATHON		9-1
2024	18	0930	1015	940		20.2	121.9	200		70		45		55		KRATHON		9-2
2024	18	0930	1130	940		20.2	121.8	200		70		45		55		KRATHON		10
2024	18	0930	1215	940		20.4	121.6	200		70		45		55		KRATHON		10-1
2024	18	0930	1315	940		20.4	121.5	200		70		45		55		KRATHON		10-2
2024	18	0930	1430	940		20.5	121.4	200		70		45		55		KRATHON		11
2024	18	0930	1515	940		20.5	121.2	200		70		45		55		KRATHON		11-1	
2024	18	0930	1615	940		20.5	121.0	200		70		45		55		KRATHON		11-2
2024	18	0930	1730	940		20.5	120.8	200		70		45		55		KRATHON		12
2024	18	0930	1815	940		20.5	120.7	200		70		45		55		KRATHON		12-1
2024	18	0930	1915	940		20.5	120.6	200		70		45		55		KRATHON		12-2
2024	18	0930	2030	930		20.5	120.5	200		70		48		58		KRATHON		13
2024	18	0930	2115	930		20.5	120.4	200		70		48		58		KRATHON		13-1
2024	18	0930	2215	930		20.5	120.4	200		70		48		58		KRATHON		13-2
2024	18	0930	2330	930		20.5	120.3	200		70		48		58		KRATHON		14
2024	18	1001	0015	930		20.5	120.2	200		70		48		58		KRATHON		14-1
2024	18	1001	0115	930		20.6	120.1	200		70		48		58		KRATHON		14-2
2024	18	1001	0230	925		20.6	120.0	220		70		51		63		KRATHON		15
2024	18	1001	0315	925		20.6	119.9	220		70		51		63		KRATHON		15-1
2024	18	1001	0415	925		20.7	119.9	220		70		51		63		KRATHON		15-2
2024	18	1001	0530	915		20.7	119.8	220		80		53		65		KRATHON		16
2024	18	1001	0615	915		20.7	119.8	220		80		53		65		KRATHON		16-1
2024	18	1001	0715	915		20.7	119.7	220		80		53		65		KRATHON		16-2
2024	18	1001	0830	910		20.7	119.7	220		80		55		68		KRATHON		17
2024	18	1001	0915	910		20.7	119.6	220		80		55		68		KRATHON		17-1
2024	18	1001	1015	910		20.7	119.6	220		80		55		68		KRATHON		17-2
2024	18	1001	1130	910		20.7	119.5	220		80		55		68		KRATHON		18
2024	18	1001	1215	910		20.7	119.5	220		80		55		68		KRATHON		18-1
2024	18	1001	1315	910		20.8	119.5	220		80		55		68		KRATHON		18-2
2024	18	1001	1430	910		20.9	119.5	220		80		55		68		KRATHON		19
2024	18	1001	1515 	910		20.9	119.5	220		80		55		68		KRATHON		19-1		
2024	18	1001	1615	910		21.0	119.5	220		80		55		68		KRATHON		19-2
2024	18	1001	1730	910		21.1	119.5	220		80		55		68		KRATHON		20
2024	18	1001	1815	910		21.2	119.5	220		80		55		68		KRATHON		20-1
2024	18	1001	1915	910		21.2	119.5	220		80		55		68		KRATHON		20-2
2024	18	1001	2030	910		21.2	119.4	220		80		55		68		KRATHON		21
2024	18	1001	2115	910		21.2	119.3	220		80		55		68		KRATHON		21-1
2024	18	1001	2215	910		21.3	119.3	220		80		55		68		KRATHON		21-2
2024	18	1001	2330	925		21.4	119.3	220		80		51		63		KRATHON		22
2024	18	1002	0015	925		21.4	119.2	220		80		51		63		KRATHON		22-1
2024	18	1002	0115	925		21.4	119.2	220		80		51		63		KRATHON		22-2
2024	18	1002	0230	930		21.4	119.1	220		80		48		58		KRATHON		23
2024	18	1002	0315	930		21.4	119.2	220		80		48		58		KRATHON		23-1
2024	18	1002	0415	930		21.4	119.3	220		80		48		58		KRATHON		23-2
2024	18	1002	0530	930		21.5	119.3	220		70		48		58		KRATHON		24
2024	18	1002	0615	930		21.5	119.3	220		70		48		58		KRATHON		24-1
2024	18	1002	0715	930		21.5	119.3	220		70		48		58		KRATHON		24-2
2024	18	1002	0830	930		21.5	119.4	220		70		48		58		KRATHON		25
2024	18	1002	0915	930		21.5	119.4	220		70		48		58		KRATHON		25-1
2024	18	1002	1015	930		21.6	119.5	220		70		48		58		KRATHON		25-2
2024	18	1002	1130	930		21.7	119.5	220		70		48		58		KRATHON		26
2024	18	1002	1215	930		21.8	119.4	220		70		48		58		KRATHON		26-1
2024	18	1002	1315	930		21.8	119.4	220		70		48		58		KRATHON		26-2
2024	18	1002	1430	940		21.9	119.5	220		70		45		55		KRATHON		27
2024	18	1002	1515	940		21.9	119.5	220		70		45		55		KRATHON		27-1
2024	18	1002	1615	940		21.9	119.5	220		70		45		55		KRATHON		27-2
2024	18	1002	1730	945		22.0	119.5	220		70		43		53		KRATHON		28
2024	18	1002	1815	945		22.0	119.5	220		70		43		53		KRATHON		28-1
2024	18	1002	1915	945		22.0	119.5	220		70		43		53		KRATHON		28-2
2024	18	1002	2030	950		22.0	119.5	200		60		40		50		KRATHON		29
2024	18	1002	2115	950		22.0	119.6	200		60		40		50		KRATHON		29-1
2024	18	1002	2215	950		22.0	119.6	200		60		40		50		KRATHON		29-2
2024	18	1002	2330	960		22.0	119.6	200		60		38		48		KRATHON		30
2024	18	1003	0015	960		22.0	119.7	200 		60		38		48		KRATHON		30-1
2024	18	1003	0115	960		22.1	119.7	200		60		38		48		KRATHON		30-2
2024	18	1003	0230	960		22.2	119.7	200		60		38		48		KRATHON		31
2024	18	1003	0315	960		22.2	119.8	200		60		38		48		KRATHON		31-1
2024	18	1003	0415	960		22.3	119.8	200		60		38		48		KRATHON		31-2
2024	18	1003	0530	960		22.3	119.9	200		70		38		48		KRATHON		32
2024	18	1003	0615	960		22.3	120.0	200		70		38		48		KRATHON		32-1
2024	18	1003	0715	960		22.3	120.0	200		70		38		48		KRATHON		32-2
2024	18	1003	0830	965		22.3	120.1	180		50		35		45		KRATHON		33
2024	18	1003	0915	965		22.4	120.1	180		50		35		45		KRATHON		33-1
2024	18	1003	1015	965		22.4	120.2	180		50		35		45		KRATHON		33-2
2024	18	1003	1130	965		22.4	120.2	180		50		35		45		KRATHON		34
2024	18	1003	1215	965		22.5	120.3	180		50		35		45		KRATHON		34-1
2024	18	1003	1315	965		22.6	120.3	180		50		35		45		KRATHON		34-2
2024	18	1003	1430	965		22.6	120.4	180		50		35		45		KRATHON		35
2024	18	1003	1515	965		22.7	120.4	180		50		35		45		KRATHON		35-1
2024	18	1003	1615	965		22.7	120.5	180		50		35		45		KRATHON		35-2
2024	18	1003	1730	975		22.8	120.5	180		50		30		38		KRATHON		36
2024	18	1003	1815	975		22.8	120.5	180		50		30		38		KRATHON		36-1
2024	18	1003	1915	975		22.8	120.5	180		50		30		38		KRATHON		36-2
2024	18	1003	2030	985		22.7	120.5	150				25		33		KRATHON		37
2024	18	1003	2115	985		22.6	120.5	150				25		33		KRATHON		37-1
2024	18	1003	2215	985		22.6	120.7	150				25		33		KRATHON		37-2
2024	18	1003	2330	998		22.7	120.7	100				18		25		KRATHON		38
2024	18	1004	0015	998		22.8	120.7	100				18		25		KRATHON		38-1
2024	18	1004	0115	998		22.9	120.6	100				18		25		KRATHON		38-2
2024	18	1004	0230	998		22.9	120.6	80				18		25		KRATHON		39
2024	18	1004	0315	998		22.8	120.5	80				18		25		KRATHON		39-1
2024	18	1004	0415	998		22.7	120.5	80				18		25		KRATHON		39-2
2024	18	1004	0530	1004		22.7	120.5					15		20		KRATHON		40

							
