年	編號	日期	時間	中心氣壓	緯度	經度	7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2024	21	1029	1730	945	18.0	126.4	280	90	43	53	KONG-REY	1
2024	21	1029	2030	940	18.4	126.1	280	90	45	55	KONG-REY	2
2024	21	1029	2330	940	18.7	125.5	280	90	45	55	KONG-REY	3
2024	21	1030	0230	935	18.7	125.4	280	90	48	58	KONG-REY	4
2024	21	1030	0530	935	19.0	125.1	300	100	48	58	KONG-REY	5
2024	21	1030	0615	935	19.0	125.0	300	100	48	58	KONG-REY	5-1	
2024	21	1030	0715	935	19.0	125.0	300	100	48	58	KONG-REY	5-2
2024	21	1030	0830	925	19.1	124.9	300	100	51	63	KONG-REY	6
2024	21	1030	0915	925	19.3	124.6	300	100	51	63	KONG-REY	6-1
2024	21	1030	1015	925	19.3	124.6	300	100	51	63	KONG-REY	6-2
2024	21	1030	1130	915	19.4	124.5	320	120	53	65	KONG-REY	7
2024	21	1030	1215	915	19.5	124.4	320	120	53	65	KONG-REY	7-1
2024	21	1030	1315	915	19.6	124.3	320	120	53	65	KONG-REY	7-2
2024	21	1030	1430	915	19.7	124.2	320	120	53	65	KONG-REY	8
2024	21	1030	1515	915	19.9	124.2	320	120	53	65	KONG-REY	8-1
2024	21	1030	1615	915	20.0	124.0	320	120	53	65	KONG-REY	8-2
2024	21	1030	1730	915	20.1	123.8	320	120	53	65	KONG-REY	9
2024	21	1030	1815	915	20.1	123.8	320	120	53	65	KONG-REY	9-1
2024	21	1030	1915	915	20.2	123.8	320	120	53	65	KONG-REY	9-2
2024	21	1030	2030	915	20.3	123.7	320	120	53	65	KONG-REY	10
2024	21	1030	2115	915	20.5	123.4	320	120	53	65	KONG-REY	10-1
2024	21	1030	2215	915	20.6	123.3	320	120	53	65	KONG-REY	10-2
2024	21	1030	2330	915	20.7	123.1	320	150	53	65	KONG-REY	11
2024	21	1031	0015	915	20.8	123.0	320	150	53	65	KONG-REY	11-1
2024	21	1031	0115	915	20.9	122.9	320	150	53	65	KONG-REY	11-2
2024	21	1031	0230	915	21.0	122.8	320	150	53	65	KONG-REY	12
2024	21	1031	0315	915	21.1	122.8	320	150	53	65	KONG-REY	12-1
2024	21	1031	0415	915	21.3	122.7	320	150	53	65	KONG-REY	12-2
2024	21	1031	0530	915	21.4	122.6	320	150	53	65	KONG-REY	13
2024	21	1031	0615	915	21.6	122.4	320	150	53	65	KONG-REY	13-1
2024	21	1031	0715	915	21.7	122.3	320	150	53	65	KONG-REY	13-2
2024	21	1031	0830	925	21.8	122.2	320	150	51	63	KONG-REY	14
2024	21	1031	0915	925	22.0	122.0	320	150	51	63	KONG-REY	14-1
2024	21	1031	1015	925	22.2	121.8	320	150	51	63	KONG-REY	14-2
2024	21	1031	1130	925	22.4	121.7	320	150	51	63	KONG-REY	15
2024	21	1031	1215	925	22.7	121.6	320	150	51	63	KONG-REY	15-1
2024	21	1031	1315	925	23.0	121.5	320	150	51	63	KONG-REY	15-2
2024	21	1031	1430	925	23.1	121.3	320	150	51	63	KONG-REY	16	
2024	21	1031	1515	925	23.2	120.9	320	150	51	63	KONG-REY	16-1
2024	21	1031	1615	925	23.4	120.6	320	150	51	63	KONG-REY	16-2
2024	21	1031	1730	945	23.6	120.3	280	100	43	53	KONG-REY	17
2024	21	1031	1815	945	23.8	120.2	280	100	43	53	KONG-REY	17-1
2024	21	1031	1915	945	23.8	120.1	280	100	43	53	KONG-REY	17-2
2024	21	1031	2030	950	24.0	120.1	280	70	40	50	KONG-REY	18
2024	21	1031	2115	950	24.0	120.0	280	70	40	50	KONG-REY	18-1
2024	21	1031	2215	950	24.0	119.9	280	70	40	50	KONG-REY	18-2
2024	21	1031	2330	965	24.0	119.9	250	70	35	45	KONG-REY	19
2024	21	1101	0015	965	24.3	119.9	250	70	35	45	KONG-REY	19-1
2024	21	1101	0115	965	24.5	119.9	250	70	35	45	KONG-REY	19-2
2024	21	1101	0230	975	24.8	120.0	220	60	30	38	KONG-REY	20
2024	21	1101	0315	975	25.1	120.1	220	60	30	38	KONG-REY	20-1
2024	21	1101	0415	975	25.3	120.3	220	60	30	38	KONG-REY	20-2
2024	21	1101	0530	980	25.8	120.5	180		28	35	KONG-REY	21
2024	21	1101	0615	980	26.2	120.7	180		28	35	KONG-REY	21-1
2024	21	1101	0715	980	26.4	120.8	180		28	35	KONG-REY	21-2
2024	21	1101	0830	985	26.8	120.8	180		25	33	KONG-REY	22
2024	21	1101	0915	985	27.0	121.0	180		25	33	KONG-REY	22-1
2024	21	1101	1015	985	27.2	121.1	180		25	33	KONG-REY	22-2
2024	21	1101	1130	995	27.4	121.2	120		20	28	KONG-REY	23
2024	21	1101	1430	998	28.4	121.6	120		18	25	KONG-REY	24
	
























										
