年	編號	日期	時間	中心氣壓	緯度	經度	 7級風暴風半徑	10級風暴風半徑	最大風速	最大陣風	颱風名字	數據筆數
year	no	date	time	slp	lat	lon	size1	size2	vmax1	vmax2	tyname	report
2024	25	1114	0530	945	16.8	123.5	150	50	45	55	USAGI	1
2024	25	1114	0830	945	17.2	123.1	150	50	45	55	USAGI	2
2024	25	1114	1130	945	17.6	122.6	150	50	45	55	USAGI	3
2024	25	1114	1430	945	17.9	122.1	150	50	45	55	USAGI	4
2024	25	1114	1730	945	18.2	121.9	150	50	43	53	USAGI	5
2024	25	1114	1815	945	18.4	121.8	150	50	43	53	USAGI	5-1	
2024	25	1114	1915	945	18.6	121.6	150	50	43	53	USAGI	5-2
2024	25	1114	2030	945	18.6	121.4	150	50	40	50	USAGI	6
2024	25	1114	2115	945	18.8	121.3	150	50	40	50	USAGI	6-1
2024	25	1114	2215	950	18.9	121.2	150	50	40	50	USAGI	6-2
2024	25	1114	2330	960	19.1	121.1	150	50	38	48	USAGI	7
2024	25	1115	0015	960	19.2	121.1	150	50	38	48	USAGI	7-1
2024	25	1115	0115	960	19.4	120.9	150	50	38	48	USAGI	7-2
2024	25	1115	0230	965	19.6	120.7	150	50	35	45	USAGI	8
2024	25	1115	0315	965	19.7	120.7	150	50	35	45	USAGI	8-1
2024	25	1115	0415	965	19.8	120.6	150	50	35	45	USAGI	8-2
2024	25	1115	0530	978	20.0	120.4	120	30	30	43	USAGI	9
2024	25	1115	0615	978	20.1	120.2	120	30	30	38	USAGI	9-1
2024	25	1115	0715	978	20.0	120.0	120	30	30	38	USAGI	9-2	
2024	25	1115	0830	978	20.2	120.1	120	30	30	38	USAGI	10
2024	25	1115	0915	978	20.4	120.0	120	30	30	38	USAGI	10-1
2024	25	1115	1015	978	20.6	119.9	120	30	30	38	USAGI	10-2
2024	25	1115	1130	978	20.8	119.8	120	30	30	38	USAGI	11
2024	25	1115	1215	978	21.0	119.7	120	30	30	38	USAGI	11-1
2024	25	1115	1315	978	21.0	119.7	120	30	30	38	USAGI	11-2
2024	25	1115	1430	980	21.1	119.7	120		28	35	USAGI	12
2024	25	1115	1515	980	21.2	119.7	120		28	35	USAGI	12-1
2024	25	1115	1615	980	21.3	119.8	120		28	35	USAGI	12-2
2024	25	1115	1730	980	21.4	119.8	120		28	35	USAGI	13
2024	25	1115	1815	980	21.5	119.8	120		28	35	USAGI	13-1
2024	25	1115	1915	980	21.6	119.8	120		28	35	USAGI	13-2
2024	25	1115	2030	988	21.7	119.8	100		23	30	USAGI	14
2024	25	1115	2115	988	21.8	119.9	100		23	30	USAGI	14-1
2024	25	1115	2215	988	21.8	119.9	100		23	30	USAGI	14-2
2024	25	1115	2330	995	21.9	119.9	80		20	28	USAGI	15
2024	25	1116	0015	995	22.0	119.9	80		20	28	USAGI	15-1
2024	25	1116	0115	995	22.1	119.9	80		20	28	USAGI	15-2
2024	25	1116	0230	998	22.2	119.9	60		18	25	USAGI	16
2024	25	1116	0315	998	22.2	119.9	60		18	25	USAGI	16-1
2024	25	1116	0415	998	22.3	120.0	60		18	25	USAGI	16-2
2024	25	1116	0530	998	22.2	120.0	50		18	25	USAGI	17
2024	25	1116	0615	998	22.2	120.0	50		18	25	USAGI	17-1
2024	25	1116	0715	998	22.2	120.1	50		18	25	USAGI	17-2
2024	25	1116	0830	998	22.2	120.2	50		18	25	USAGI	18
2024	25	1116	0915	998	22.2	120.2	50		18	25	USAGI	18-1
2024	25	1116	1015	998	22.2	120.3	50		18	25	USAGI	18-2
2024	25	1116	1130	1000	22.1	120.5			15	23	USAGI	19







